name,first_review,div1_slope,div2_slope,div3_slope,div4_slope,total_slope,div1_mean,div2_mean,div3_mean,div4_mean,total_mean,div1_kurtosis,div2_kurtosis,div3_kurtosis,div4_kurtosis,total_kurtosis,div1_skew,div2_skew,div3_skew,div4_skew,total_skew,div1_median,div2_median,div3_median,div4_median,total_median,div1_std,div2_std,div3_std,div4_std,total_std,div1_var,div2_var,div3_var,div4_var,total_var,div1_number_reviews,div2_number_reviews,div3_number_reviews,div4_number_reviews,total_number_reviews,div1_avg_length_reviews,div2_avg_length_reviews,div3_avg_length_reviews,div4_avg_length_reviews,total_avg_length_reviews,div1_menu,div2_menu,div3_menu,div4_menu,total_menu,div1_service,div2_service,div3_service,div4_service,total_service,div1_value,div2_value,div3_value,div4_value,total_value,div1_access,div2_access,div3_access,div4_access,total_access,michelin__0.5,michelin__1.0,security,at_risk,actual
the-spotted-pig,0.90754381508763,0.48038211374449613,0.5429021555596374,0.8582971008766497,0.34371426911220965,0.9188010628484754,0.5484570639850144,0.39846767160832197,0.37002974886681583,0.4022411090666589,0.37587904360056257,0.35030791161230246,0.15046110910101473,0.1647904371498545,0.04619990373407122,0.1679606063143535,0.6049354343376834,0.6854369737801391,0.7716216552853365,0.741467905312444,0.6987361791604035,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.4901193736768492,0.6042314461439293,0.3862680000179768,0.6677564101693553,0.5299450944506594,0.24021700045338695,0.4458723949147514,0.30112894729729633,0.5607420307988873,0.4574027371219541,0.6822742474916388,0.6808873720136519,0.6810856658184902,0.681044267877412,0.6811101670914754,0.29451495371817227,0.35948521824401924,0.31251219369934896,0.10755912104559068,0.17718280678695386,0.2951945080091533,0.311909454014393,0.2879394225929937,0.18880163878456815,0.2116692046406681,0.645209862601167,0.7206274168568767,0.06791058844001044,0.0,0.3517699884542918,0.2934782608695652,0.439479467402077,0.2015985355294453,0.20563470981244467,0.2686410894523971,0.4347546681642792,0.5319043846505979,0.2814570953632729,0.15510157140318043,0.2770234085415909,0,0,0.6734768685201808,0,1
take-root,0.23571247142494284,0.4838709677419355,0.19270166453265047,0.1718750000000001,0.7995354654279077,0.5940391942664738,0.9999999999999998,1.0,0.6634906231094972,0.7573746312684366,0.9525316455696204,0.0,0.5469534812431327,0.18251782995760377,0.21895089085654124,0.889840618509651,0.8103911524136157,0.1548750358695956,0.48010090382950943,0.41422754829438835,0.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,0.0,0.0,1.0,0.7356154439067063,0.5848527011771247,0.0,0.0,1.0,0.6418043107917932,0.5141459447470241,0.0,0.002559726962457338,0.0,0.0022701475595913734,0.0014160294534126313,0.27977442907935124,0.3553129882897529,0.849997870935185,1.0,0.8526974651790467,0.7543859649122806,0.7308781869688386,0.45614035087719307,0.5862068965517242,0.5933539847930162,0.15584415584415587,0.0465237846314689,0.07653490328006728,0.3950554351981649,0.02803545660688518,0.0,0.3815659068384539,0.5991561181434599,0.25853658536585367,0.3317493940955325,0.8636977058029689,0.6269241229262986,0.8378176382660689,0.4994720168954593,0.6734210038896092,0,0,0.6412749830844837,0,0
the-river-cafe,0.905511811023622,0.474083302709534,0.5427426826199335,0.8596680396294284,0.34239264761305915,0.9179541678956685,0.7551020408163267,0.6339235422329978,0.5609773447353037,0.7653191204076157,0.7120297988309967,0.48188374966388337,0.24849661668598805,0.23276773070430232,0.22591000082096147,0.3503183193274793,0.3645872028473847,0.5251492447829974,0.5758475261021413,0.43733369151400786,0.4150651867197026,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,0.5280279910402799,0.6013991905998899,0.5398990578172462,0.5260480508564963,0.5329883392663926,0.27881355932203383,0.4426544669893418,0.45068629133050897,0.4057863919651934,0.4605017557739447,0.19063545150501673,0.19368600682593856,0.19253604749787953,0.19296254256526674,0.19286321155480032,0.38829496114131423,0.41245567146474105,0.31547886629456073,0.17797600251841555,0.24660787736294765,0.3,0.16020495871770657,0.2263420265519232,0.26175548589341696,0.15039244022551204,0.12987012987012989,0.036980444194244504,0.07653490328006728,0.37311595630061284,0.014335410531282648,0.3625,0.33412958586397634,0.12539844300732522,0.3055432372505543,0.24508149807706997,0.27175631386157706,0.181762817607256,0.21201166679334196,0.29514255543822593,0.14955712604422075,0,0,0.8308625013108022,0,0
wallse,0.9039878079756158,0.400853889943074,0.528536457596274,0.8729883712557603,0.33230187904614544,0.9098973344650528,0.6638655462184875,0.4288751270912283,0.3860729409731225,0.5825958702064897,0.4815956029313795,0.22496737712048695,0.1489042152982391,0.1417486626981206,0.13459941059480354,0.23113413238049432,0.7772097406389151,0.7036156653254696,0.7825441700802952,0.6276985508714533,0.653976546619336,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.34344349079950404,0.6030321663676481,0.4593649622009055,0.5360616511618618,0.4544889940518846,0.117953431372549,0.44450851058039964,0.3701734823535514,0.41609998944128634,0.3822886800424651,0.046822742474916385,0.0469283276450512,0.04580152671755725,0.04767309875141884,0.046728971962616814,0.26957475441010137,0.30482333565982056,0.45779816042760074,0.16726596701011193,0.2520281189807718,0.1764705882352941,0.2126816229553139,0.23037004275394374,0.5689655172413794,0.2406716417910448,0.15584415584415587,0.08254219853970288,0.07653490328006728,0.3950554351981649,0.04500428560578937,0.29411764705882354,0.36366252118034464,0.19258589511754068,0.43089430894308944,0.3034293238678651,0.13064335045759196,0.40843254055287004,0.3661648515908606,0.6356916578669483,0.3684756436377107,0,0,0.425709796420618,1,0
the-breslin,0.5791211582423164,0.49175728013627096,0.5470827003247768,0.8585411818722519,0.3439042007262053,0.920147523550419,0.33822072518327717,0.3071590041900045,0.32236898398130176,0.43034414945919375,0.2991321123680559,0.2403765736703512,0.09985995780409236,0.2305708965642278,0.06132405695531232,0.15707508339538778,0.6422740684026458,0.7382887862837706,0.7576508127602196,0.7040798538202999,0.7264498375583717,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.6055405501097951,0.6680492016930673,0.30006529860408815,0.6526828692548324,0.5283646540706946,0.36667935782727323,0.5211970039906015,0.22463694745336926,0.5433386370405526,0.4557954598953621,0.33444816053511706,0.33361774744027306,0.3341815097540288,0.3337116912599319,0.3338997451146984,0.4274296021744852,0.3792653841325887,0.32311523253017344,0.09811007622462059,0.20766786486393962,0.2703117015840572,0.29894693011801216,0.2730650154798762,0.21103448275862075,0.20433630365691757,0.18610515697894342,0.2260728630081931,0.15473154453457771,1.0,0.26903792826906264,0.28640776699029125,0.3815659068384539,0.20469220448803951,0.28956097560975613,0.27211864347140036,0.28597258643247403,0.34113592165341255,0.3612883753018282,0.35780359028511083,0.28382840060820913,0,0,0.4628549780782488,1,0
ai-fiori,0.43332486664973324,0.46864178332076034,0.5512079390232028,0.8605765838418555,0.3454083606871642,0.9224928322122075,0.5431008224185196,0.5802292263610314,0.6798586193042491,0.770819151350125,0.6975483777098797,0.2544725821565036,0.16234176888551868,0.3632670688754296,0.313572458608915,0.334192987426163,0.6079390526098445,0.6147974402266705,0.5237121941729581,0.43744966989032735,0.49370848258159594,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.6202157457165495,0.624695704670629,0.28131546867331303,0.33475381752450695,0.35547522484429495,0.3846675712347355,0.4694390092132323,0.20870600554998914,0.22733623103431516,0.28875443910779763,0.2140468227424749,0.2150170648464164,0.21458863443596266,0.21452894438138478,0.21467006513735484,0.15735167342039758,0.13550989765906118,0.3966890784078933,0.4608819862510081,0.2695941575036933,0.36213668499607227,0.33874840036313125,0.3583579514569991,0.22758620689655176,0.2656499005730403,0.17910447761194032,0.03790161605111945,0.06317050700120057,0.4940643656076305,0.04450583979866958,0.27238805970149255,0.42013767980071254,0.19724127935066188,0.21611006879299563,0.2607709586426102,0.29640116364389735,0.24051313444840777,0.2724343614144388,0.2437982292258955,0.18288283365468797,0,0,0.6761426557412232,0,0
aldea,0.5796291592583185,0.49209873318532066,0.5324915208647131,0.8673457106134541,0.33911780138820213,0.9193971646549635,0.5290423861852434,0.48352435530085947,0.6500943498275258,0.5909186683522967,0.5743670886075951,0.2082479751418027,0.08366091211110699,0.36435466980760617,0.1342207723550175,0.2072294092599634,0.65197360576742,0.7609879972600444,0.5879002107129665,0.6479939630243343,0.6735319806234689,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.6261292093287366,0.5709421880810988,0.21817739847752837,0.41499092178764907,0.33371177306279143,0.39203778677462886,0.4087215025857673,0.15691707368676666,0.2978877488173095,0.2689608645291668,0.12040133779264214,0.12030716723549487,0.12044105173876167,0.12031782065834279,0.12036250354007363,0.24812115190485684,0.39821030968451543,0.6020235529587639,0.6565822858875408,0.5805541634483611,0.3576248313090418,0.3769619477834775,0.3889365017530192,0.12807881773399019,0.26549563503238527,0.15584415584415587,0.0465237846314689,0.09972345841293534,0.4640080831618999,0.04952930667216382,0.3846153846153846,0.40406610773310475,0.2814389902159204,0.24930313588850175,0.30612647341335725,0.26456674229953586,0.22924093525126976,0.3859471980518516,0.31460250414843866,0.24155625527361035,0,0,0.622755159126105,0,0
andanada,0.2504445008890017,0.468590831918506,0.5277330774726106,0.8646559388335704,0.34131835834815805,0.9428722797216265,0.0,0.0,0.0,0.4161399072903498,0.0,0.2487853463824948,0.0,0.0,0.05422048237894146,0.0,1.0,1.0,0.9999999999999999,0.7071148813607395,1.0,0.0,0.0,0.5,0.6666666666666666,0.0,0.6892819808487721,0.8971507062191388,0.6553782628279217,0.6827141956493373,0.860376808987477,0.47510964912280707,0.8360473590826322,0.5742642261066658,0.5782284525340595,0.8253936959361212,0.056856187290969896,0.05716723549488054,0.05597964376590331,0.056753688989784334,0.05664117813650524,0.238795441553861,0.4097072650048973,0.3414854349317023,0.26388718968919717,0.272881763099289,0.3736842105263158,0.47984457545364056,0.26982043343653256,0.3201970443349754,0.3095935417253356,0.15584415584415587,0.0465237846314689,0.07653490328006728,0.3950554351981649,0.02803545660688518,0.25,0.5615675139956606,0.27389993972272453,0.3693379790940767,0.372746067187013,0.38079814921920185,0.6237679071511,0.40641255605381166,0.3632523759239704,0.4105468090798708,0,0,0.2748309584037213,1,0
aquavit,0.9530099060198118,0.4592223449016741,0.5209446333171444,0.8620865370881737,0.3615427184998808,0.9173386594179457,0.5829636202307009,0.6077363896848138,0.5743486419145465,0.6605673475724709,0.6390259600944006,0.2873449978365126,0.21845301100776582,0.294931419664407,0.14254136478452023,0.29472481993410815,0.5168332021809248,0.5412089295601308,0.6690527760831133,0.6114778241214499,0.541944098203022,0.6666666666666666,1.0,0.5,0.6666666666666666,0.5,0.6971156355582441,0.646711786416545,0.19262095451581218,0.3940213806049162,0.37425515139125265,0.48597020933977453,0.4954120371366976,0.1367684928514511,0.27885000594624443,0.3060562673296928,0.14381270903010035,0.14334470989761092,0.14249363867684478,0.1441543700340522,0.14330218068535824,0.21502757943464135,0.39588989984130485,0.6815803523725883,0.3486057868224662,0.47516415277897717,0.07093821510297482,0.30888304330230676,0.29824211575798926,0.1413015296862847,0.17934710839788906,0.15584415584415587,0.0465237846314689,0.03697024988952402,0.42408812907763227,0.021963747548896864,0.21739130434782608,0.3625371655104064,0.1443487500127706,0.16523014854208695,0.20276621710220952,0.32187492141725554,0.39670072652395194,0.30434369537128525,0.2843883732562663,0.2633336228477827,1,0,0.7400707732559756,0,0
atera,0.30937261874523747,0.43424317617866004,0.6403420523138833,0.9035714285714286,0.34030499472512565,0.8943842423782492,0.9686028257456829,0.7437917860553966,0.7757787325456498,0.724308379175636,0.8479075174373549,1.0,0.38829071285042194,0.46799396242268415,0.14967304798111092,0.5227089337665127,0.0,0.327573358680478,0.3400684692892485,0.5178670432605499,0.23901554120961988,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,0.14978617237881955,0.6982733497010967,0.3991322416677825,0.5701253868559025,0.4986224354884081,0.02243589743589744,0.5587530431053623,0.3130017300076686,0.4519084672406649,0.425819496700536,0.033444816053511704,0.03498293515358362,0.033927056827820185,0.03518728717366629,0.034551118663268196,0.5265171821161168,0.48450216806587,1.0000000000000002,0.9536609914275516,1.0,0.3198380566801619,0.4009678942398489,0.35089404182725725,0.17241379310344832,0.2670216495497101,0.15584415584415587,0.0,0.29091072930433737,0.3950554351981649,0.0719004567401069,0.019230769230769218,0.497191939213743,0.0930176772336421,0.3982860909690178,0.27056813450748135,0.3124972193798105,0.22792584534493698,0.3684108172416949,0.16812694426210792,0.19880224732975244,1,0,0.8762442831956994,0,0
