name,first_review,div1_slope,div2_slope,div3_slope,div4_slope,total_slope,div1_mean,div2_mean,div3_mean,div4_mean,total_mean,div1_kurtosis,div2_kurtosis,div3_kurtosis,div4_kurtosis,total_kurtosis,div1_skew,div2_skew,div3_skew,div4_skew,total_skew,div1_median,div2_median,div3_median,div4_median,total_median,div1_std,div2_std,div3_std,div4_std,total_std,div1_var,div2_var,div3_var,div4_var,total_var,div1_number_reviews,div2_number_reviews,div3_number_reviews,div4_number_reviews,total_number_reviews,div1_avg_length_reviews,div2_avg_length_reviews,div3_avg_length_reviews,div4_avg_length_reviews,total_avg_length_reviews,div1_menu,div2_menu,div3_menu,div4_menu,total_menu,div1_service,div2_service,div3_service,div4_service,total_service,div1_value,div2_value,div3_value,div4_value,total_value,div1_wait time,div2_wait time,div3_wait time,div4_wait time,total_wait time,michelin__0.5,michelin__1.0,security,at_risk,actual
blanca,0.29286258572517143,0.7946428571428571,0.21518179086538441,0.8562632111019208,0.09904237176964452,0.7108057204956484,0.805194805194805,0.574074074074074,0.7646356033452808,0.5999999999999996,0.7870229898471233,0.14789008023565992,0.42815841326519644,0.13436663807734878,0.6978249523288731,0.3334498017148658,0.752673178293447,0.4922369742353918,0.851697764957865,0.21874493258707017,0.5500745248114729,0.9999999999999999,1.0,0.75,1.0,1.0,0.2672612419124244,0.7124337944540606,0.7770547483962956,0.320452662581659,0.30662980076603086,0.07142857142857144,0.5075619114802107,0.6038140820052303,0.2095478540280009,0.2377344942750539,0.02316602316602317,0.025666337611056265,0.02453385672227674,0.026246719160104987,0.02522109400589584,0.4760987362446478,0.9065665209992985,0.45946896819960903,0.45598259608411895,0.7682537047586082,0.8857142857142857,0.6481481481481481,0.6320987654320988,0.5416666666666667,0.5768411082169074,0.28738317757009346,0.1221419464513387,0.05098163394553516,0.09653266779570371,0.06227398127282518,0.32539682539682535,0.8361278783813995,0.4211172498465316,0.42857142857142855,0.499028459349963,1.0,0.6837606837606837,0.6388888888888888,0.46232469693368194,0.6596086839989279,1,0,0.5411265317201741,0,0
cafe-boulud,0.8882397764795529,0.7338735687792292,0.5759346526651588,0.5250003132849442,0.08718229611371558,0.7208853259836768,0.5797598627787306,0.5763546798029555,0.7804878048780488,0.44313725490196054,0.7366862522014244,0.589049355769842,0.5246321518024994,0.2817827225897501,0.5202479739600356,0.41763884276770336,0.37515029000154326,0.48186746426507276,0.5890714692559589,0.42793283918527136,0.4814862983575706,0.6666666666666666,0.5,0.75,0.5,0.5,0.5533903946423704,0.5916129277308332,0.8126615488027069,0.2966826835335307,0.2995359469517238,0.3062409288824384,0.35000585625824804,0.6604187929024145,0.1904127801175433,0.23154596819074158,0.2007722007722008,0.19940769990128332,0.19921491658488713,0.1994750656167979,0.19947592531935798,0.17727613743557596,0.33782199835736304,0.1778525356483056,0.3931344901186645,0.33516847456300836,0.6679245283018869,0.7906403940886699,0.7960975609756098,0.5910947712418301,0.7650611935106417,0.28738317757009346,0.040713982150446235,0.07858632354531274,0.09653266779570371,0.047620926251167775,0.23375262054507337,0.832383463341626,0.3605174504783722,0.35014005602240894,0.392345410139447,0.4815674891146589,0.5608184918529746,0.775609756097561,0.5042249845029526,0.6454522676021047,0,0,0.5048061440336613,0,0
cafe-china,0.3675387350774701,0.740625,0.5745197252585481,0.538269910267165,0.08873798191911904,0.7217256413356063,0.5269016697588125,0.2887700534759359,0.7059225123741253,0.176056338028169,0.5026708184602922,0.43226851719327375,0.3312913107685473,0.2520157957583708,0.3831884499601803,0.2865839179793698,0.5966547167970191,0.6828776764665754,0.682307345955941,0.6360699791112113,0.6589367054840249,0.6666666666666666,0.5,0.75,0.5,0.5,0.48903799777246976,0.7202261517258933,0.8096648701356133,0.3865505730727771,0.4041404255522836,0.23915816326530615,0.5187257096298894,0.6555572019317196,0.2657825760495222,0.32610598515510514,0.18532818532818535,0.18361303060217177,0.18351324828263002,0.18503937007874013,0.1840812315754995,0.15525750457464355,0.2931704808568475,0.004004893442332125,0.35801339338909943,0.23214297920339,0.4285714285714286,0.5828877005347594,0.654673721340388,0.2069542253521127,0.4070478245235527,0.28738317757009346,0.040713982150446235,0.08092322848497645,0.09653266779570371,0.04843287808653509,0.32539682539682535,0.8158039143954636,0.4411704522201759,0.317907444668008,0.404859556737,0.24835164835164836,0.4524886877828054,0.7896825396825397,0.2632935717466195,0.5366978700312034,0,0,0.33469469062988244,1,0
daniel,0.938785877571755,0.750572364481702,0.5681632111515812,0.5085767336950264,0.08564775237474541,0.7220020632795823,0.752066115702479,0.7448979591836733,0.8931276297335202,0.713953488372093,0.9677473091908602,0.5523835145634135,0.6470778520453551,0.478495804613287,0.8317541344616346,0.6408584939845573,0.39879055854449286,0.21221112793901498,0.3316134013952592,0.08111008069646752,0.22998482735879966,0.9999999999999999,1.0,1.0,1.0,1.0,0.3783592140807897,0.5862183554330196,0.6673999256928529,0.18026169952243581,0.1149056889687683,0.14315569487983285,0.343651960246594,0.4454226608148257,0.10500494847194446,0.08194918130227608,0.3359073359073359,0.33761105626850935,0.3366045142296369,0.3372703412073491,0.33704552898788076,0.16578103780437736,0.7972159472089583,0.3009081027675983,0.2539487663794121,0.45191677796394014,0.7272727272727273,0.8206997084548104,0.8564251207729469,0.6082848837209304,0.83485756136035,0.30371176720475784,0.040713982150446235,0.06191682499472241,0.11050121920800193,0.04751987919778489,0.3775252525252525,0.9393973168456804,0.6866042117063015,0.5083056478405314,0.7971171064786441,0.5831293706293705,0.6100022426553038,0.8760869565217391,0.6947722787602059,0.7719301974621123,1,0,0.6856491314519003,0,0
delaware-and-hudson,0.11684023368046734,0.75,0.4988411336186679,0.3944871458640145,0.13679808841099167,0.6620853501971385,0.9999999999999998,0.6875,0.7612903225806451,0.4967741935483869,0.8254765079614086,0.0,0.7434852579030418,0.1967304819972884,0.5782342225602496,0.466304605385802,0.8551193021829333,0.09335460632602932,0.7303105724559449,0.44554476679026433,0.39393945384930384,0.9999999999999999,1.0,0.75,0.5,1.0,0.0,0.7439757090853906,0.8113107873463644,0.2487483370108416,0.3447540038680035,0.0,0.5534998557091096,0.6582251936645778,0.15357563283407494,0.2715518603595619,0.03861003861003861,0.0384995064165844,0.037291462217860644,0.03937007874015748,0.03832296102194563,0.010987875151094048,0.12531802185747776,0.41231916612692443,0.16778560122264063,0.17179930114718245,0.8545454545454547,0.9125,0.72,0.4100806451612904,0.7720833996498487,0.28738317757009346,0.1506417339566511,0.05098163394553516,0.15465986560817047,0.08712307689668718,0.48484848484848486,0.7867203219315895,0.28425414364640883,0.28110599078341014,0.3168529478834886,0.7342657342657342,0.6442307692307692,0.675,0.6980301647791316,0.6919473968654296,0,0,0.48737477739769197,1,0
dovetail,0.7091694183388366,0.75180677613321,0.566713620477291,0.5394211918895576,0.09371083093710832,0.7234687114153807,0.632495164410058,0.4722222222222223,0.7414008198182143,0.45294117647058796,0.6763298620883762,0.4785514530908481,0.3671004385194757,0.227725760809697,0.49776991477726285,0.3245722772007216,0.5456649586975675,0.5943409026628751,0.6708446207647774,0.3865351238304755,0.5520370392520391,0.6666666666666666,0.5,0.75,0.5,0.5,0.39888837209801514,0.7144351024957323,0.8639189987589121,0.4049794649885415,0.42775277532532896,0.1591119333950046,0.5104175156780874,0.7463560364166013,0.2822548344561601,0.34843205767195073,0.1776061776061776,0.17670286278381048,0.17566241413150147,0.17716535433070865,0.17654765804127087,0.21475028575537186,0.5903942190646115,0.3681848103557225,0.25955011446202847,0.4334894892199612,0.7446808510638299,0.6972222222222222,0.7484346224677716,0.5399816176470589,0.6667440034266134,0.31795585603499704,0.040713982150446235,0.040559973967718585,0.14953099521295282,0.05256656654500243,0.2565011820330969,0.7715179968701095,0.324562742285034,0.3256302521008403,0.29431957885208815,0.5522094926350245,0.45512820512820507,0.7375690607734806,0.47347557991582656,0.5868010665804784,0,0,0.3998756077630117,1,0
eleven-madison-park,0.9588519177038353,0.7494490155744931,0.5704264432759439,0.5102698876669595,0.08248769517194317,0.7221338285076337,0.7062084257206207,0.7720125786163523,0.9221183800623052,0.7050000000000001,0.9925068085975033,0.61783890030751,0.8273638323119022,0.6085486723385899,0.7390759601405523,0.7202171941934273,0.3501450013156675,0.07550996907877083,0.22680243341211914,0.15304717633914688,0.17743228411058465,0.9999999999999999,1.0,1.0,1.0,1.0,0.4606219039429742,0.5766624712305678,0.5857516571096132,0.17578897647872777,0.07404558002546024,0.21217253839205055,0.3325396057257453,0.343105003806658,0.10199909154028101,0.05182789260995774,0.3127413127413128,0.31293188548864753,0.3130520117762512,0.3136482939632546,0.31313462168358985,0.17511860808530078,0.7240074598494585,0.672450798563022,0.3691201353637902,0.6240120545450876,0.6878048780487804,0.8238993710691824,0.8888888888888888,0.5949479166666668,0.8499035187860542,0.28738317757009346,0.05454137231474873,0.05685802165888345,0.1115488605639243,0.04825627537148542,0.3665311653116531,0.9465598623185654,0.8382988244608526,0.5428571428571428,0.8915531910525589,0.4189493433395872,0.6240928882438316,0.9228971962616822,0.6863560732113145,0.7842791963499559,0,1,0.9390159570884297,0,0
gramercy-tavern,0.9636779273558546,0.7518842227746337,0.5683855769212175,0.5110821610787404,0.08376748937321479,0.7210755138999176,0.8299319727891155,0.7517543859649121,0.8828050490883592,0.7027906976744185,0.9684077155193971,0.5151421648614711,0.7100086590440521,0.48585708718654796,0.7135723729985035,0.6597992118775002,0.3737744920018512,0.25094495176792886,0.3866394851035797,0.1725915875535603,0.2684774361685136,0.9999999999999999,1.0,1.0,1.0,1.0,0.2996052445824444,0.5058319187398985,0.6029487758172138,0.16240184515018347,0.0032880755710362752,0.08976330258130634,0.25586593001608726,0.36354722625947683,0.09312414717776844,0.002226082829700271,0.5637065637065637,0.5616979269496545,0.5623159960745829,0.562992125984252,0.562397641663937,0.15725107590331083,0.4475792272187059,0.19513803385400408,0.2086412466060678,0.2770379444058122,0.7333333333333334,0.8035087719298246,0.8486956521739131,0.6261918604651163,0.8237035282974189,0.3069330535952699,0.0638566667412262,0.12315389487017102,0.1677722799984246,0.0925433097363007,0.5052910052910052,0.9229411557061667,0.6228873408599568,0.42591362126245846,0.7210312594144606,0.645054945054945,0.7449392712550607,0.932608695652174,0.647641527686414,0.8489489604472182,0,0,0.7157657243131377,0,0
luksus,0.19024638049276096,1.0,1.0,0.6378633702113179,0.05901505901505902,1.0,0.0,0.41176470588235303,0.8745519713261649,0.6307692307692307,0.7214949896181277,0.15926624025378777,0.3221665627130263,0.16018435560037603,0.2759984398534518,0.33170916162623804,1.0,0.5707015285004564,0.7088396332403786,0.659773602040358,0.5568834400196999,0.0,0.5,1.0,1.0,0.5,0.5477225575051662,0.8945313589564851,0.5864899776691416,0.09692642117926625,0.39083351068746475,0.3000000000000001,0.8001863521565358,0.3439704939063503,0.05234723963206862,0.31368316044849665,0.015444015444015444,0.01579466929911155,0.015701668302257114,0.015748031496062992,0.015722240419259743,0.30718504247860273,0.9038376541875462,0.47551590237976493,0.23652219185214107,0.6007332542891821,0.2,0.6470588235294118,0.7703703703703704,0.4817307692307693,0.5693350430481774,0.0,0.040713982150446235,0.05098163394553516,0.09653266779570371,0.0,0.05555555555555555,0.6841046277665995,0.6316758747697974,0.4725274725274725,0.38229718996752704,0.2692307692307692,0.5203619909502262,0.8333333333333334,0.7698707282733905,0.6962471490773378,0,0,0.22527580198236397,1,0
m-wells-steakhouse,0.1623063246126492,0.7182017543859649,0.575232155046742,0.4717161983715465,0.0571792198586457,0.7023539187650795,0.5933014354066988,0.32432432432432434,0.6812903225806451,0.11071428571428577,0.48906356801093676,0.3902312576907615,0.2796642157262204,0.15203057908727977,0.24631950921919402,0.18789531685641414,0.6020636720885754,0.8046394738885554,0.8678929021150001,0.7613991405347746,0.7737289999608461,0.6666666666666666,0.5,0.75,0.5,0.5,0.4376305152023306,0.6989042381072988,0.8386478823779342,0.5543554187313464,0.47560721545780105,0.1915204678362573,0.4884671340443439,0.7033302706169935,0.4285371502493376,0.39478788545859667,0.0694980694980695,0.07206317867719644,0.07163886162904808,0.0721784776902887,0.07173272191287258,0.26726529553837536,0.7156353368342777,0.16438721423295832,0.22113850616388692,0.40004139261917815,0.49473684210526314,0.5675675675675675,0.6044444444444445,0.24375000000000002,0.381371359223301,0.9680275454992622,0.07042418534131241,0.12643445218492722,0.0,0.12732393234577496,0.2046783625730994,0.7765511990864102,0.15160220994475138,0.2346938775510204,0.1516254927395997,0.48461538461538456,0.3534303534303534,0.78,0.324459234608985,0.5337029042386185,0,0,0.0965130715707514,1,0
