name,first_review,div1_slope,div2_slope,div3_slope,div4_slope,total_slope,div1_mean,div2_mean,div3_mean,div4_mean,total_mean,div1_kurtosis,div2_kurtosis,div3_kurtosis,div4_kurtosis,total_kurtosis,div1_skew,div2_skew,div3_skew,div4_skew,total_skew,div1_median,div2_median,div3_median,div4_median,total_median,div1_std,div2_std,div3_std,div4_std,total_std,div1_var,div2_var,div3_var,div4_var,total_var,div1_number_reviews,div2_number_reviews,div3_number_reviews,div4_number_reviews,total_number_reviews,div1_avg_length_reviews,div2_avg_length_reviews,div3_avg_length_reviews,div4_avg_length_reviews,total_avg_length_reviews,div1_food_quality,div2_food_quality,div3_food_quality,div4_food_quality,total_food_quality,div1_menu,div2_menu,div3_menu,div4_menu,total_menu,div1_service,div2_service,div3_service,div4_service,total_service,div1_value,div2_value,div3_value,div4_value,total_value,div1_wait time,div2_wait time,div3_wait time,div4_wait time,total_wait time,michelin__0.5,michelin__1.0,security,at_risk,actual
blanca,0.0,0.7371134020618556,0.9627619478365748,0.0,0.46040925266903915,0.0,0.8333333333333333,1.0,0.47214076246334313,0.2637037037037038,0.6793606572316229,0.0,0.06442224414367204,0.028788858009358556,0.14570861511633382,0.3304266524206248,0.7945731773276605,0.6272570405344257,0.9916020866823004,0.7693720079294621,0.5723098539378159,0.75,1.0,0.5,0.0,1.0,0.13865582611803912,0.0,0.5372385348414239,0.897612330819214,0.4040723751333002,0.07044491525423727,0.0,0.4572869699011743,0.841160171290799,0.33424256001288766,0.005847953216374269,0.0,0.0029761904761904795,0.0019920318725099584,0.001989060169070113,0.9999999999999999,0.6743580978688837,0.66744831041427,0.6481088545350444,0.706958369102019,0.3559322033898305,0.18358531317494597,0.2975286188081737,0.5020374898125509,0.20212833849197487,1.0,1.0,0.17862838915470497,0.0,0.4651720155295722,0.0635166537567777,0.3586157432311279,0.028009742519137088,0.00744493528157919,0.10538342777344747,0.15384615384615385,0.9384164222873901,0.0,0.5709651257096513,0.40577455504284776,0.8357142857142856,0.720257234726688,0.2887468614471582,0.9244444444444444,0.5650617504922142,0,0,0.0,1.0,0
cafe-boulud,0.8419540229885057,0.703720362483249,0.7511440779933662,0.5155823136868861,0.5800500548064726,0.5900221370530757,0.7407407407407407,0.5679270174866669,0.5858562416928628,0.4112820512820514,0.5928845118556958,0.6558024691358022,0.4407393407356731,0.2688846570949923,0.25485186754069933,0.2936216241130175,0.27123553228325037,0.5397757733415507,0.6795158332176341,0.6880567375670943,0.5798585868175727,1.0,0.5,0.5,0.0,0.0,0.4489529453987769,0.5074967483663593,0.4669614861423246,0.604736721567523,0.40873078951804276,0.3076573849878935,0.3769326075282138,0.3869149990446387,0.4579127717241669,0.33864808837007887,0.19298245614035087,0.1891891891891892,0.19047619047619047,0.19123505976095617,0.19045251118846343,0.3276481149012568,0.2712488497835355,0.17490572674363603,0.3321985683307296,0.20419976210586044,0.387241054613936,0.30177673377370684,0.1721115458120291,0.1647310513447433,0.1362217328126419,0.7148148148148148,0.6824817518248175,0.7561185501359677,0.6254370629370629,0.6859933426141327,0.0635166537567777,0.15779092702169625,0.028009742519137088,0.00744493528157919,0.04873983534521945,0.3888888888888889,0.3767365198963974,0.5098920863309352,0.4624508702975857,0.4230769230769231,0.6166666666666666,0.3455652827000258,0.3531797707234806,0.40717948717948715,0.31406807182883345,0,0,1.0,0.0,0
cafe-china,0.10560344827586207,0.6642761093679963,0.7143871494869315,0.5343008555374058,0.6319701992445144,0.5822930615974016,0.6521739130434783,0.2666833938386506,0.2835843026129363,0.11263681592039809,0.26141034267080165,0.5531946873987692,0.1886625419377751,0.15012184695829411,0.10180984133059254,0.11429348199637214,0.35199172144075547,0.9149017816932201,0.7931212151054892,0.9434823544401987,0.8468638346920885,0.5,0.5,0.5,0.0,0.0,0.5008154517809089,0.5584896216478701,0.6642538456657041,0.7022656624349272,0.5697854870346521,0.3580320057613719,0.42968318290661245,0.5925326122359837,0.5738333056728664,0.49869939266371976,0.11695906432748537,0.1171171171171171,0.11607142857142858,0.11752988047808764,0.1168572849328692,0.18789638786979934,0.3754277262572481,0.08665710788745706,0.3813774413775318,0.20054131957923138,0.5519528371407516,0.3655204212876453,0.4362019659014549,0.31330511257891475,0.33396183192655376,0.36231884057971014,0.1476072830648436,0.13221511388276616,0.09158751696065129,0.07981565545291003,0.0635166537567777,0.15779092702169625,0.028009742519137088,0.00744493528157919,0.04873983534521945,0.3745819397993311,0.23196810438564697,0.14220505617977527,0.24327268765660748,0.14720058245358572,0.3428571428571428,0.23149318978286787,0.34658086886940287,0.23880597014925375,0.19380745280221412,0,0,0.0,1.0,0
daniel,0.9134339080459771,0.7359103559947424,0.7194686927874797,0.517199787561331,0.5716447006117971,0.5896561105120577,0.7936507936507937,0.8730571591702083,0.8214929570693719,0.677158469945355,0.8857220096122713,0.35751592802632537,0.8114944978522642,0.3757093929160755,0.47370004596653487,0.4998725586426125,0.41593961059879825,0.09569993031179225,0.5076026973600362,0.39967375942743366,0.26592202935503706,1.0,1.0,1.0,1.0,1.0,0.33465515496958803,0.38436246878541697,0.3791744373607797,0.5866033390391395,0.28751425435653655,0.2074855502616575,0.2607541751292256,0.3034717551455028,0.4376481665413663,0.22810914841389052,0.3508771929824561,0.3468468468468468,0.34672619047619047,0.34860557768924305,0.34758826454500247,0.14400994913225612,0.788891029090371,0.3428409371498792,0.16728312548208302,0.3167513862697685,0.3559322033898305,0.20270246148903126,0.16791308511365968,0.15431480219648083,0.0893768427300469,0.708994708994709,0.934487951807229,0.8283525505268388,0.6438152011922504,0.7985862557750792,0.0635166537567777,0.15779092702169625,0.028009742519137088,0.00744493528157919,0.04873983534521945,0.7716727716727716,0.7997867235403893,0.8195440573770493,0.6146942682780903,0.8055817672930827,0.4993197278911564,0.5231657410114001,0.5617186359877415,0.4686338797814208,0.45873140809901214,0,1,1.0,0.0,0
danji,0.19683908045977014,0.7305539947020171,0.7475877398679903,0.520834127714805,0.5677847474508215,0.583532301296493,0.6666666666666667,0.3678517647923014,0.43063878617875817,0.15785440613026847,0.37444897701143987,0.12328003679355022,0.24278338035008573,0.24453806519202223,0.12272262062440664,0.19579212202905658,0.7073775322197122,0.8515243221741622,0.7172381920168905,0.8342264325875948,0.7409764658950999,0.5,0.5,0.5,0.0,0.0,0.26067856509175263,0.4705119636818523,0.5693635794133611,0.7370121198114375,0.47555358391981994,0.15060637054354167,0.3403726921024488,0.49051333106596867,0.617955250649708,0.4032285252486931,0.15789473684210525,0.15465465465465467,0.15476190476190477,0.15737051792828682,0.15564395822973642,0.4028753366247755,0.3942989733921647,0.19718537620996546,0.1328429954973004,0.19076299241052908,0.39350282485875704,0.4067864044560645,0.31765132732660095,0.4317089621448445,0.28749547877240994,0.6333333333333333,0.1713300570703868,0.18057000208029955,0.0987460815047022,0.15281020705808418,0.0635166537567777,0.21592442645074225,0.046033402922755734,0.02926629731379406,0.0790261492158038,0.21025641025641026,0.11318619128466326,0.13206521739130433,0.22426378051849988,0.06916678415339067,0.3428571428571428,0.30064308681672025,0.5662495161914592,0.3825287356321839,0.3402365731347855,0,0,0.0,1.0,0
dovetail,0.5887212643678161,0.7256259204712813,0.7127742156579613,0.5266950923084527,0.6128226141871065,0.5763051817837722,0.6372549019607845,0.535175331472435,0.4216046204472703,0.20041237113402044,0.44473626280216827,0.26689821854912793,0.2369566919752748,0.136943613130689,0.05581970742355799,0.13308359378119594,0.5421148191310463,0.7361257966007848,0.7912206819610772,0.8532680773340424,0.7264063147525329,0.5,0.5,0.5,0.0,0.0,0.3881105899961664,0.47772059750433477,0.7947159692940446,0.9064356768054992,0.6669008208184737,0.2524769441674975,0.3473863903096551,0.7422509627011262,0.8543412378924691,0.6024804785125366,0.18128654970760233,0.17567567567567569,0.17857142857142858,0.17729083665338646,0.17752362008950767,0.3908774685816876,0.46183626634596364,0.38955048624204835,0.21753233563435348,0.29595828536594937,0.3559322033898305,0.21972867170626348,0.219802737049974,0.0941320293398533,0.10773014863923955,0.6549019607843136,0.6570853727409639,0.5655429343657548,0.3669165885660731,0.5268329493650096,0.0635166537567777,0.15779092702169625,0.028009742519137088,0.00744493528157919,0.04873983534521945,0.30316742081447967,0.282258064516129,0.251192748091603,0.3128903604484912,0.22239399624765477,0.45882352941176463,0.372764268488746,0.29974856728656535,0.11436426116838488,0.21293937850229244,0,0,1.0,0.0,0
dressler,0.7701149425287357,0.732952278017958,0.6990025520168494,0.5192104674792574,0.560078371786157,0.5732350590027239,0.5734767025089604,0.685544044232111,0.6075556322235642,0.2879400749063672,0.5939870305630839,0.2893339929709263,0.5186852626747911,0.393148048539375,0.15074683635742864,0.2936162764993584,0.494302217141949,0.4895424821020852,0.6459416779183749,0.8503173777281887,0.6270222157403116,0.5,0.5,0.5,0.0,0.0,0.5859099900376685,0.3772264775166247,0.2326979542988703,0.5963072484357247,0.2873224178328746,0.44734144341170035,0.2545068983199964,0.17527817130842865,0.4484423349146722,0.22794096429525024,0.16374269005847952,0.15915915915915918,0.1607142857142857,0.1613545816733068,0.1606166086524117,0.0325946892917125,0.22549496051908946,0.1165568944610409,0.0041971633669492525,0.016608937762301768,0.31957353745215966,0.34175112144874564,0.37920314161826063,0.8778604983379578,0.3545693326081477,0.3849462365591398,0.5632530120481928,0.6402101510460644,0.17926455566905006,0.4182961442418143,0.0,0.21443382390127952,0.010591919440009825,0.02877592962767687,0.06051406523198595,0.3176178660049628,0.5734767025089605,0.2339810924369748,0.3058312146313459,0.32038366675801583,0.40645161290322573,0.4452963970648858,0.4816597262050221,0.32,0.35165376888161326,0,0,0.0,1.0,1
eleven-madison-park,0.9418103448275862,0.7336111354964624,0.7214172827348917,0.5200407862122708,0.5688364702832467,0.5940316542742543,0.7458143074581429,0.890847945835993,0.8933220147142049,0.7568075117370889,0.9369923775604989,0.40789993624055787,1.0,0.5276373330059353,0.6678872776391408,0.642650319350768,0.38123940321161653,0.0,0.38718849099994,0.2762321004546021,0.15349754944927385,1.0,1.0,1.0,1.0,1.0,0.4669510507975429,0.3547028130279197,0.3028177678439523,0.48301600453479987,0.2158301392077131,0.32479103784536784,0.23513729391569757,0.2349239407968146,0.32963106715676127,0.16674947279149321,0.4093567251461988,0.4069069069069069,0.40773809523809523,0.40836653386454186,0.4077573346593734,0.29218415680873566,0.6057230346866589,0.605253521969244,0.24361202071477062,0.39597856920686014,0.3559322033898305,0.22459905335232752,0.18547690505819486,0.12860291332346155,0.10064900462427906,0.5881278538812784,0.9261247116124071,0.8868742829961667,0.7029449423815621,0.8123348696697766,0.0635166537567777,0.16562451914334075,0.03528244759428145,0.02527083666000824,0.05856779745468926,0.5711275026343519,0.8053077099061999,0.84375,0.9582262431033893,0.9195173419495037,0.36986301369863006,0.5516179790654717,0.5466500078088397,0.6264788732394366,0.4797869614838164,0,1,1.0,0.0,0
gramercy-tavern,0.9486350574712644,0.7454059553302547,0.7137136714188672,0.5187412259652083,0.5703530515033207,0.5878472556134563,0.866188769414576,0.9264099473450482,0.7830112883139839,0.6994871794871798,0.9064970390729039,0.24729585320718334,0.7468559280415055,0.3581709603710487,0.6913272908450842,0.5896178189680507,0.48453101783535063,0.18284500095842704,0.5960906413075228,0.33717919286265186,0.29957522288464855,1.0,1.0,1.0,1.0,1.0,0.17318781466755756,0.2011489832651046,0.2436625057441384,0.4438325803927464,0.060409567551148236,0.09140478284641138,0.11720971419870974,0.18439632217476148,0.29220827752620904,0.04394946539079231,0.5263157894736841,0.5285285285285285,0.5267857142857142,0.5278884462151394,0.5275982098458478,0.11895070799791507,0.41396807319841344,0.2909555448615473,0.05883345713597299,0.15589534437114816,0.3801713140149444,0.2664262892026489,0.21468554118162592,0.3092909535452323,0.16595727689295914,0.6136200716845879,0.8808871851040526,0.6753621288588845,0.5889110889110889,0.6970390962616471,0.0635166537567777,0.16387652751289114,0.04504580509242047,0.07698553956006614,0.075560110370651,0.7907361455748553,0.6185017328712343,0.5894691780821918,0.634100692494853,0.6636982208944574,0.512442396313364,0.6015784858228588,0.5640177228567945,0.6056166056166056,0.5201550903785852,0,0,1.0,0.0,0
the-modern,0.8326149425287357,0.7487278379844847,0.721399966381953,0.5140895548684954,0.5922899866139933,0.600110670598662,0.5263157894736843,0.6812630844382412,0.5143212951432128,0.6138226299694187,0.6363440906368596,0.33573305651413565,0.27539336714998913,0.18012558647361243,0.43702090779468517,0.276651637776743,0.44466745179621436,0.7346306604064584,0.778671670139089,0.4846802144772059,0.606627284732327,0.5,0.5,0.5,1.0,0.0,0.6162799912418098,0.2974170981800423,0.48446412675583383,0.5619004762603118,0.33630392681530386,0.4812185066422354,0.18826174035599227,0.40414423020244344,0.41069195201102066,0.2715763423432791,0.2046783625730994,0.19969969969969972,0.20089285714285712,0.20119521912350596,0.20089507707608154,0.13046719975432292,0.45491634824704286,0.3366253045756574,0.18374671965279077,0.22465094490443527,0.4449152542372881,0.21571274298056153,0.2531483986510945,0.3972544357461699,0.1924263587463088,0.5561403508771929,0.7934550702811245,0.5739660483712394,0.6980817347789825,0.6560179945898359,0.0635166537567777,0.15779092702169625,0.028009742519137088,0.00744493528157919,0.04873983534521945,0.3765182186234818,0.5197132616487455,0.3987585616438356,0.4994307908658676,0.4455500362783948,0.31691729323308265,0.49296623794212213,0.48335433518962645,0.38654434250764524,0.3712397896555383,0,0,1.0,0.0,0
