name,first_review,div1_slope,div2_slope,div3_slope,div4_slope,total_slope,div1_mean,div2_mean,div3_mean,div4_mean,total_mean,div1_kurtosis,div2_kurtosis,div3_kurtosis,div4_kurtosis,total_kurtosis,div1_skew,div2_skew,div3_skew,div4_skew,total_skew,div1_median,div2_median,div3_median,div4_median,total_median,div1_std,div2_std,div3_std,div4_std,total_std,div1_var,div2_var,div3_var,div4_var,total_var,div1_number_reviews,div2_number_reviews,div3_number_reviews,div4_number_reviews,total_number_reviews,div1_avg_length_reviews,div2_avg_length_reviews,div3_avg_length_reviews,div4_avg_length_reviews,total_avg_length_reviews,div1_food_quality,div2_food_quality,div3_food_quality,div4_food_quality,total_food_quality,div1_menu,div2_menu,div3_menu,div4_menu,total_menu,div1_service,div2_service,div3_service,div4_service,total_service,div1_value,div2_value,div3_value,div4_value,total_value,div1_wait time,div2_wait time,div3_wait time,div4_wait time,total_wait time,michelin__0.5,michelin__1.0,security,at_risk,actual
sushi-of-gari,0.8587241479755315,0.5670821114369501,0.41048321913608055,0.05647150227411505,0.6416617924221747,0.7799181821868629,0.6726474518037793,0.712621096742216,0.7428426241758266,0.5817206902112564,0.681521864118432,0.5025565129893265,0.39012246545043816,0.3289066883769451,0.3424374297346532,0.23579768076796273,0.37643958713402176,0.2557089098758075,0.4647620417867965,0.5646129396044118,0.5380823081214153,1.0,1.0,1.0,1.0,1.0,0.4731877753835932,0.7417182543339558,0.2721351841195653,0.2642270717184651,0.5133647839510498,0.3436877737953006,0.6500162649547225,0.1860768663460917,0.15647957246880528,0.44576166314593835,0.1408450704225352,0.14009661835748793,0.14011976047904193,0.141025641025641,0.1404,0.0062208196692356554,0.4515594136766125,0.12247232508679984,0.25012835543427886,0.1686572020487066,0.9999999999999998,1.0000000000000002,1.0,1.0,0.9999999999999999,0.15151515151515152,0.03522012578616353,0.244988364811479,0.02705602052329527,0.010161994080926651,0.07515505290040132,0.04482991664789366,0.07709967476563995,0.05604743725123873,0.03658611211470159,0.2084088437839797,0.31578947368421056,0.2500898311174991,0.16754478398314016,0.24971067562230548,0.21821631878557876,0.39008042895442363,0.5274229902329075,0.4405594405594406,0.3479284526238165,0,0,0.0,1.0,0
tamarind-tribeca,0.4252840081561316,0.556879136189481,0.3745140471493957,0.05449168164961591,0.6853729053575645,0.7391303832693021,0.6463359126081021,0.6617059433154595,0.5282952883576018,0.2978663246165727,0.5009123148565986,0.45338255473894973,0.43314412087933873,0.16086806637300824,0.25366442914229653,0.1518279056121103,0.4610747838973562,0.28064492047622736,0.660351669387915,0.7182139119982102,0.6732304072387999,0.5,0.5,0.5,0.5,0.0,0.31844845018005213,0.645417244044282,0.4059314912516214,0.3530543927265429,0.5973755244258838,0.20569800569800556,0.5358692946384964,0.30115913611350353,0.22646553800382507,0.5322899511515939,0.11737089201877934,0.11594202898550725,0.11497005988023952,0.11698717948717949,0.116,0.1465989021017311,0.3370884648435242,0.15762154847440146,0.34735687435049806,0.20932152724469277,0.278902384165542,0.2792079207920793,0.19444850255661064,0.5803196641911528,0.1643806920353505,0.44522144522144524,0.16603773584905662,0.3701028999064546,0.2153382809915211,0.24557919838201642,0.07515505290040132,0.04482991664789366,0.07709967476563995,0.03167898627243928,0.03053047976468202,0.35868625756266204,0.656842105263158,0.5295652173913044,0.2492790194664744,0.5367922431658403,0.38461538461538464,0.3796246648793566,0.41454545454545455,0.31174089068825916,0.2729426536101126,0,0,1.0,0.0,1
telepan,0.8494028546460821,0.5996125509194843,0.38077372482715893,0.0562197572325306,0.6819581281286909,0.8171534229029411,0.263223955531648,0.4203897480024943,0.5409198985244794,0.5414046121593286,0.4331644666428822,0.31779259057693143,0.1600523747948607,0.12827966430227059,0.4402466840469583,0.10813470697599606,0.5525608912041642,0.4061956275511071,0.713728120350099,0.6614508548614302,0.7368195364294197,0.5,0.5,0.5,0.5,0.0,0.7507017905191673,0.8379982458897299,0.3323561469508405,0.14423797454840576,0.5997537495748217,0.6534792368125703,0.7730138773302013,0.23594971688673674,0.07582811340989933,0.534795041126289,0.15023474178403756,0.14492753623188406,0.1473053892215569,0.14583333333333331,0.1464,0.15331154214162063,0.4221438736387118,0.2690905622169526,0.30379182233255947,0.27050300863992005,0.1812865497076023,0.22357074417119135,0.15519690791025115,0.6830048296567028,0.1606042980925536,0.30578512396694213,0.25623858794887405,0.623675080839404,0.655552816467398,0.5219520223840679,0.1491713928780693,0.02566874259677782,0.1353797438798245,0.03167898627243928,0.05379179768063022,0.2945182158665305,0.3463497453310696,0.21841834988017803,0.1788108423200233,0.2674669128962758,0.18716577540106952,0.37490270690997146,0.493915533285612,0.648861776521351,0.4013381490911244,0,0,1.0,0.0,0
tulsi,0.3425575298572677,0.3636363636363636,0.450822962665596,0.055659489637308546,0.7012536913485727,0.678686625131151,0.63905325443787,0.6368224214842515,0.14546816161873055,0.23093553459119498,0.31539437559136907,0.5691580124753837,0.23672164503921803,0.05560246649450479,0.19688747762725892,0.026954822489314204,0.30882697810706816,0.37309674361634165,0.9454392627107661,0.889408219665172,0.8899192386005328,1.0,0.5,0.5,0.5,0.0,0.5773173905864493,0.6138560405691871,0.43988545699736936,0.3121093464360158,0.6571254291914126,0.45054945054945034,0.500391056619826,0.33283860901683693,0.19311885288332115,0.5961547983974611,0.061032863849765265,0.05917874396135265,0.059880239520958084,0.05929487179487179,0.0596,0.0,0.3200814868067882,0.2992772067747097,0.3539692857723247,0.23465793575694982,0.3625730994152046,0.4390061647674202,0.16695073451830206,0.558282208588957,0.20736549089331668,0.2727272727272727,0.00035599857600569773,0.3808855628313065,0.22274744237643287,0.1337838055419889,0.07515505290040132,0.04482991664789366,0.07709967476563995,0.03167898627243928,0.03053047976468202,0.5056179775280899,0.381330685203575,0.1400966183574879,0.4006849315068493,0.3894760534904429,0.37815126050420167,0.5212706763113967,0.06060606060606061,0.0,0.04007628913523409,0,0,1.0,0.0,0
wd-50,0.8703757646373435,0.5524888840961071,0.39047672796755695,0.05240609290500307,0.6595688205855287,0.7724059753336663,0.2970944096087611,0.4542243049610235,0.45303768449940485,0.19090670859538728,0.32742918301819435,0.37223320233770507,0.11318273810193481,0.13476979625241092,0.18955653757400803,0.03318394619400085,0.5343702770005723,0.43729509181544074,0.7494672566372131,0.8627208357386352,0.8567577912454494,0.5,0.5,0.5,0.5,0.0,0.6456324991597386,0.8186176200639825,0.35782424618894026,0.3417650012385665,0.6968496371701602,0.5267768899609699,0.7475417375119611,0.2579896420771929,0.2170856196293613,0.6396840974537974,0.30985915492957744,0.30917874396135264,0.3089820359281437,0.3092948717948718,0.3092,0.26178052972952354,0.7778923134564517,0.5472136556048468,0.5718410627434529,0.6477999505692859,0.1812865497076023,0.09900990099009903,0.11267487830310192,0.5497370727432077,0.04484690834448764,0.3034825870646766,0.28679245283018867,0.5947343240097401,0.2342392028918063,0.4028391556597951,0.07515505290040132,0.03569151056197688,0.08416224039302682,0.03167898627243928,0.03053047976468202,0.12661412040919,0.23319838056680167,0.17324925323597745,0.14383561643835616,0.1681547752478309,0.34679543459174716,0.37801608579088475,0.5371269951422623,0.3106893106893107,0.323128663627213,0,0,1.0,0.0,1
